WORD 	P+ 	P-
amish		0.000713521227257 	0.000333667000334
versatile		0.00107028184088 	0.000333667000334
lace		0.000356760613628 	0.000667334000667
quality poor		0.000356760613628 	0.001001001001
beware		0.000356760613628 	0.00166833500167
excellent		0.00428112736354 	0.000333667000334
people		0.000713521227257 	0.000667334000667
results		0.000713521227257 	0.000333667000334
product not		0.000356760613628 	0.00166833500167
enjoyable		0.000713521227257 	0.000333667000334
size ordered		0.000356760613628 	0.001001001001
concept		0.000356760613628 	0.000667334000667
skin		0.000356760613628 	0.000667334000667
printheads		0.000356760613628 	0.000667334000667
hate		0.000356760613628 	0.001001001001
children		0.000356760613628 	0.000667334000667
issues		0.000356760613628 	0.001001001001
poorly		0.000356760613628 	0.001001001001
compact		0.00107028184088 	0.000667334000667
rd		0.000356760613628 	0.000667334000667
certainly		0.000713521227257 	0.000333667000334
smily		0.000713521227257 	0.000333667000334
lining		0.000356760613628 	0.000667334000667
white		0.000356760613628 	0.001001001001
originality		0.000356760613628 	0.000667334000667
charge		0.000356760613628 	0.000667334000667
like picture		0.000356760613628 	0.000667334000667
dissatisfied		0.000356760613628 	0.000667334000667
th		0.000356760613628 	0.000667334000667
stable		0.000356760613628 	0.000667334000667
through		0.000356760613628 	0.001001001001
friendly		0.000356760613628 	0.000333667000334
dress fits		0.00142704245451 	0.000333667000334
lack		0.000356760613628 	0.000667334000667
returned		0.000356760613628 	0.001001001001
returning		0.000356760613628 	0.000667334000667
far		0.00107028184088 	0.000333667000334
shoulder design		0.00107028184088 	0.000333667000334
nice product		0.00214056368177 	0.000333667000334
every		0.000713521227257 	0.000667334000667
fabric good		0.00107028184088 	0.000333667000334
decide		0.000356760613628 	0.000667334000667
fall		0.00107028184088 	0.000333667000334
awful		0.000356760613628 	0.000667334000667
perfect fit		0.000713521227257 	0.000333667000334
buy flipkart		0.000356760613628 	0.001001001001
nor		0.000356760613628 	0.000667334000667
condition		0.000713521227257 	0.000333667000334
cool		0.00107028184088 	0.000333667000334
delivery		0.00142704245451 	0.00133466800133
entire		0.000356760613628 	0.000667334000667
moderate		0.000713521227257 	0.000333667000334
impressive		0.00107028184088 	0.000667334000667
did		0.000356760613628 	0.000667334000667
die		0.000713521227257 	0.000333667000334
button		0.000356760613628 	0.00133466800133
fragile		0.000356760613628 	0.000667334000667
large		0.000356760613628 	0.000333667000334
item		0.000356760613628 	0.00166833500167
adjust		0.000713521227257 	0.000333667000334
great book		0.00107028184088 	0.000333667000334
warranties		0.000356760613628 	0.000667334000667
quick		0.000713521227257 	0.000667334000667
dip		0.000356760613628 	0.000667334000667
straight		0.000356760613628 	0.000667334000667
clothes		0.000713521227257 	0.000667334000667
enjoy		0.000713521227257 	0.000333667000334
smaller		0.000356760613628 	0.000333667000334
says		0.000356760613628 	0.000667334000667
regret		0.000713521227257 	0.000333667000334
drop shoulder		0.00107028184088 	0.000333667000334
obsolete		0.000356760613628 	0.000667334000667
boots		0.000713521227257 	0.000333667000334
elegant		0.00142704245451 	0.000333667000334
rate		0.000356760613628 	0.000667334000667
fabulous		0.00142704245451 	0.000333667000334
design		0.00107028184088 	0.001001001001
shirts		0.000713521227257 	0.000667334000667
utter		0.000356760613628 	0.000667334000667
table arrived		0.000356760613628 	0.001001001001
odd		0.000356760613628 	0.000667334000667
casual		0.00107028184088 	0.000333667000334
transfer		0.000356760613628 	0.000667334000667
material		0.000356760613628 	0.00266933600267
software		0.000356760613628 	0.000667334000667
stressful		0.000713521227257 	0.000333667000334
sub		0.000356760613628 	0.000667334000667
great product		0.00142704245451 	0.000333667000334
giving		0.000356760613628 	0.000667334000667
fingers		0.000356760613628 	0.000667334000667
find		0.000713521227257 	0.000667334000667
anywhere		0.000713521227257 	0.000333667000334
not fit		0.000356760613628 	0.00166833500167
above		0.000713521227257 	0.000333667000334
new		0.000356760613628 	0.000667334000667
ever		0.00178380306814 	0.00166833500167
too small		0.000356760613628 	0.00166833500167
body		0.000356760613628 	0.000333667000334
nice design		0.000713521227257 	0.000333667000334
full		0.000713521227257 	0.000333667000334
very nice		0.00356760613628 	0.000333667000334
leg		0.000713521227257 	0.000333667000334
loose		0.000356760613628 	0.001001001001
piece junk		0.000356760613628 	0.001001001001
hours		0.000356760613628 	0.000667334000667
china		0.000356760613628 	0.000667334000667
others		0.000713521227257 	0.000333667000334
fits material		0.00107028184088 	0.000333667000334
quite		0.000713521227257 	0.000333667000334
wait		0.000713521227257 	0.000333667000334
box		0.000713521227257 	0.000333667000334
stellar		0.000713521227257 	0.000333667000334
great		0.00606493043168 	0.001001001001
kids		0.00142704245451 	0.001001001001
daughter		0.000713521227257 	0.000667334000667
colored		0.000356760613628 	0.000667334000667
noticeable		0.000713521227257 	0.000333667000334
jams		0.000356760613628 	0.000667334000667
brilliant		0.00107028184088 	0.000333667000334
adjusts		0.000713521227257 	0.000333667000334
very happy		0.00142704245451 	0.000333667000334
experience		0.00142704245451 	0.000667334000667
not upto		0.000356760613628 	0.00133466800133
bulges		0.000713521227257 	0.000333667000334
reasonable price		0.000713521227257 	0.000333667000334
products		0.000713521227257 	0.001001001001
skinner		0.000356760613628 	0.000667334000667
suggestion		0.000713521227257 	0.000333667000334
mindblowing		0.00107028184088 	0.000333667000334
action		0.000356760613628 	0.000667334000667
opinion		0.000356760613628 	0.000667334000667
weird		0.000356760613628 	0.000667334000667
narrow		0.00107028184088 	0.000667334000667
makes		0.000356760613628 	0.000667334000667
honor		0.000356760613628 	0.000667334000667
plotted		0.000713521227257 	0.000333667000334
golden		0.000356760613628 	0.000333667000334
fantastic		0.00142704245451 	0.000333667000334
love		0.00428112736354 	0.000333667000334
os		0.000356760613628 	0.000667334000667
awear		0.000356760613628 	0.000667334000667
app		0.000356760613628 	0.000667334000667
please dont		0.000356760613628 	0.000667334000667
marked		0.000356760613628 	0.000667334000667
highly		0.00142704245451 	0.000333667000334
brought		0.000713521227257 	0.000333667000334
visible		0.000713521227257 	0.000333667000334
write speed		0.000356760613628 	0.001001001001
moral		0.000356760613628 	0.000667334000667
unhappy		0.000356760613628 	0.001001001001
motor		0.000356760613628 	0.000667334000667
fake		0.000356760613628 	0.001001001001
very comfortable		0.00107028184088 	0.000333667000334
total		0.000356760613628 	0.001001001001
kind		0.000356760613628 	0.000667334000667
unit		0.000713521227257 	0.000333667000334
narayan		0.000713521227257 	0.000333667000334
crap		0.000356760613628 	0.00166833500167
requested		0.000356760613628 	0.000333667000334
waste time		0.000356760613628 	0.001001001001
positive		0.000713521227257 	0.000333667000334
sweater		0.000356760613628 	0.000667334000667
arms		0.000356760613628 	0.001001001001
washes		0.000713521227257 	0.000333667000334
very made		0.00107028184088 	0.000333667000334
duplicate		0.000356760613628 	0.001001001001
camera		0.000356760613628 	0.000667334000667
wonderfully		0.000713521227257 	0.000333667000334
material looks		0.000356760613628 	0.001001001001
wondering		0.000356760613628 	0.000333667000334
gorgeous		0.00142704245451 	0.000333667000334
proportions		0.000356760613628 	0.000667334000667
loving		0.000713521227257 	0.000333667000334
material nice		0.00107028184088 	0.000333667000334
rich		0.000713521227257 	0.000333667000334
materiel		0.000713521227257 	0.000333667000334
pleased product		0.00107028184088 	0.000333667000334
under		0.000356760613628 	0.000667334000667
impress		0.000356760613628 	0.000667334000667
great price		0.00142704245451 	0.000333667000334
hurt		0.000356760613628 	0.000667334000667
